Rank,Tiktoker name,Tiktok name,followers,views(avg),views(avg),likes(avg.),likes(avg.),comments(avg.),comments(avg.),shares(avg.),shares(avg.)
210,melmaia,Mel Maia 🍯,14M,4.8M,4800000,476.6K,476600,1.2K,1200,1.1K,1100
211,outtpig,OuttPig,2.4M,2.3M,2300000,431.9K,431900,1.5K,1500,3.7K,3700
212,edgar3104,Edgarmendez,5.7M,6.8M,6800000,284.8K,284800,1.7K,1700,958,958
213,christianchavezreal,Christian Chávez,1.7M,2.2M,2200000,336.4K,336400,3.9K,3900,3K,3000
214,championsleague,Champions League,20.3M,2.8M,2800000,474K,474000,1.9K,1900,2K,2000
215,gordonramsayofficial,Gordon Ramsay,35.6M,4.6M,4600000,388.2K,388200,2.3K,2300,613,613
216,dixiedamelio,dixie,57.5M,4.7M,4700000,356.6K,356600,2.1K,2100,923,923
217,maxtaylorlifts,Max Taylor,9.4M,3.2M,3200000,440.8K,440800,2K,2000,1.6K,1600
218,oironyoliveira,Kbuloso 😈,7.1M,1.5M,1500000,132K,132000,412,412,25K,25000
219,marko,marko,11.2M,2.3M,2300000,275.3K,275300,3.4K,3400,4.6K,4600
220,dinosonso_ofc,DinoSonso,8.8M,2.5M,2500000,194.1K,194100,4.4K,4400,5.9K,5900
221,firmanskd,𝙆𝙊𝘾𝘼𝙉,3.1M,2.2M,2200000,174.6K,174600,632,632,12.3K,12300
222,oficialrc3,Roberto Carlos,3.6M,5.1M,5100000,397K,397000,901,901,1.5K,1500
223,danythegaggio,Daniele Cabras,3.5M,2.4M,2400000,290.7K,290700,1.6K,1600,5.6K,5600
224,tina_042,𝒯𝒾𝓃𝒶,1.3M,2.4M,2400000,504.9K,504900,2.1K,2100,1.9K,1900
225,pedroallann,Pedroca,2.9M,2.3M,2300000,422.5K,422500,2.5K,2500,2.4K,2400
226,piffpeterson,piff peterson,3.9M,3.3M,3300000,379.5K,379500,1.5K,1500,2.3K,2300
227,jongmineyo,종민오빠  Jongmin oppa,15.2M,4.3M,4300000,275.3K,275300,1.8K,1800,2.2K,2200
228,jumpersjump,Jumpers Jump Podcast,8.4M,3.7M,3700000,351.9K,351900,2.2K,2200,1.6K,1600
229,piitien1603,pi tiên ™,1.7M,3.8M,3800000,288.3K,288300,2.2K,2200,2.1K,2100
230,gehu.gl,Gerson Garcia,573.3K,2M,2000000,129K,129000,1.9K,1900,16.5K,16500
231,mesitaaa,Mesita,486.9K,3.2M,3200000,550.7K,550700,947,947,1.7K,1700
232,szivsz,Ziva Magnolya,2.1M,4.3M,4300000,479.7K,479700,1.4K,1400,857,857
233,dilanjaniyar,Emang namanya Dilan,2.2M,4.1M,4100000,393.6K,393600,1.8K,1800,1.2K,1200
234,fernandamotafarhat,Fe,7.3M,3.3M,3300000,349.3K,349300,733,733,3.3K,3300
235,stickyboy69,stickyboy69,9.2M,1.3M,1300000,298.7K,298700,9.1K,9100,2.8K,2800
236,juliagisella,juliagisella,13.5M,3M,3000000,377.1K,377100,2.4K,2400,1.6K,1600
237,mieayamthebstt,Unaa🍜,17M,3.1M,3100000,339.9K,339900,2.6K,2600,1.8K,1800
238,frankielapenna,Frankie LaPenna,5.7M,6.8M,6800000,227.9K,227900,1.2K,1200,1.8K,1800
239,jdpantoja,JD Pantoja,31.9M,2.5M,2500000,451.1K,451100,3.3K,3300,784,784
240,davidcstt_,David Costa,6.2M,3M,3000000,514K,514000,1.7K,1700,1.2K,1200
241,badboyrema,Rema,2.7M,3.1M,3100000,421K,421000,2.6K,2600,894,894
242,simxmargo,Seamoan {1M+},1M,2.4M,2400000,493.1K,493100,2.1K,2100,1.7K,1700
243,elainebabey,ELAINEBABEY,142.8K,1.7M,1700000,280.4K,280400,3.6K,3600,5.9K,5900
244,chinguamiga,Chingu Amiga,20.7M,4.2M,4200000,566.2K,566200,1.5K,1500,393,393
